,desk_work,driving,lunch,office_talk,ping-pong,playing_cards,playing_pool,running,sitting,stairs,standing,walking
desk_work,0,0,0,0,0,0,0,0,0,0,0,0
driving,0,0,0,0,0,0,0,0,0,0,0,0
lunch,0,0,0,0,0,0,0,0,0,0,0,0
office_talk,0,0,0,0,0,0,0,0,0,0,0,0
ping-pong,0,0,0,0,0,0,0,0,0,0,0,0
playing_cards,0,0,0,0,0,64,0,0,0,0,0,0
playing_pool,0,0,0,0,0,0,0,0,0,0,0,0
running,0,0,0,0,0,0,0,0,0,0,0,0
sitting,0,0,0,0,0,0,0,0,0,0,0,0
stairs,0,0,0,0,0,0,0,0,0,0,0,0
standing,0,0,0,0,0,0,0,0,0,0,0,0
walking,0,0,0,0,0,0,0,0,0,0,0,0
